parameter,value,strategy,mean_terminal_pnl,std_terminal_pnl,mean_path_pnl_std,mean_max_abs_inventory,mean_sharpe_like_ratio,mean_total_fills
k,2.0,AvellanedaStoikov,1.7113803990167935,1.716035791291161,0.7617638442598098,1.4,1.9267115520634277,3.14
k,3.0,FixedSpread,0.9371004548272639,2.1257479441094635,0.7223589805741473,1.37,1.1837671568574988,2.15
k,3.0,AvellanedaStoikov,1.2068978170026183,1.5901591030700981,0.6092214504402333,1.26,1.7565304193627815,2.97
base_spread,0.5,FixedSpread,1.3735524497735725,3.7719208739077437,1.2650624843513736,2.64,1.263436393780715,6.61
base_spread,0.5,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
base_spread,1.0,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
base_spread,1.0,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
base_spread,1.5,FixedSpread,2.348323963741096,2.545739813553696,1.0843535521455063,1.7,1.907369464254795,3.2
base_spread,1.5,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
base_spread,2.0,FixedSpread,2.012100454827264,2.377084789333716,0.978424573746095,1.37,1.7260612316876978,2.15
base_spread,2.0,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
